title,movieId,userId
Cars (2006),45517,1
Up in the Air (2009),72011,1
Innerspace (1987),4121,1
Far and Away (1992),3259,1
Adventureland (2009),67734,1
Angels & Demons (2009),68554,1
8 1/2 (8½) (1963),1251,1
"Hours, The (2002)",5992,1
City Slickers (1991),4321,1
Snatch (2000),4011,1
Spanglish (2004),27808,1
"Definitely, Maybe (2008)",58047,2
Click (2006),45672,2
Harry Potter and the Goblet of Fire (2005),40815,2
Lord of War (2005),36529,2
"Monsters, Inc. (2001)",4886,2
Of Mice and Men (1992),3271,2
Fright Night (1985),2867,2
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",2951,2
Hercules (1997),1566,2
Conan the Barbarian (1982),1587,2
Michael Collins (1996),991,2
X-Men: Days of Future Past (2014),111362,3
"Hangover, The (2009)",69122,3
Lara Croft: Tomb Raider (2001),4367,3
Midnight in Paris (2011),86882,3
Shrek the Third (2007),53121,3
Starship Troopers (1997),1676,3
Eastern Promises (2007),55118,3
Beethoven (1992),6793,3
Marie Antoinette (2006),45880,3
Ladyhawke (1985),3479,3
"Passion of the Christ, The (2004)",7318,3
There Will Be Blood (2007),56782,4
I Now Pronounce You Chuck and Larry (2007),54004,4
Shoot 'Em Up (2007),54999,4
"Da Vinci Code, The (2006)",45447,4
Silent Hill (2006),45081,4
King Kong (2005),41569,4
"Break-Up, The (2006)",45501,4
"Wedding Date, The (2005)",31433,4
Waiting... (2005),37384,4
"40-Year-Old Virgin, The (2005)",35836,4
"I, Robot (2004)",8644,4
Looper (2012),96610,5
No Country for Old Men (2007),55820,5
Man of Steel (2013),103042,5
Silver Linings Playbook (2012),97921,5
For a Few Dollars More (Per qualche dollaro in più) (1965),3681,5
Drive (2011),88129,5
Megamind (2010),81564,5
"Town, The (2010)",80489,5
Tron: Legacy (2010),82461,5
Source Code (2011),85414,5
Alien: Resurrection (1997),1690,5
Watchmen (2009),60684,6
Iron Man (2008),59315,6
Spider-Man 3 (2007),52722,6
"Holiday, The (2006)",49286,6
"Departed, The (2006)",48516,6
Harry Potter and the Order of the Phoenix (2007),54001,6
Déjà Vu (Deja Vu) (2006),49278,6
Letters from Iwo Jima (2006),50068,6
300 (2007),51662,6
"Dukes of Hazzard, The (2005)",34520,6
Sin City (2005),32587,6
No Strings Attached (2011),84374,7
Get Smart (2008),60126,7
Saw II (2005),39446,7
Saw (2004),8957,7
"Matrix Reloaded, The (2003)",6365,7
Pirates of the Caribbean: On Stranger Tides (2011),86880,7
Hostel (2005),42723,7
Conspiracy Theory (1997),1597,7
Sucker Punch (2011),85510,7
City Slickers (1991),4321,7
Fracture (2007),52604,7
"Guns of Navarone, The (1961)",3654,8
"Truman Show, The (1998)",1682,8
Paul (2011),84772,8
Prince of Persia: The Sands of Time (2010),78105,8
Machete (2010),80219,8
Vicky Cristina Barcelona (2008),60950,8
Hancock (2008),60074,8
"Bank Job, The (2008)",58295,8
Watchmen (2009),60684,8
Knocked Up (2007),52973,8
Into the Wild (2007),55247,8
This Is the End (2013),102123,9
Fracture (2007),52604,9
Hostel (2005),42723,9
Primary Colors (1998),1810,9
Interstellar (2014),109487,9
Sucker Punch (2011),85510,9
12 Years a Slave (2013),105844,9
Monsters University (2013),103141,9
"Descendants, The (2011)",91077,9
"Hangover Part II, The (2011)",86911,9
Source Code (2011),85414,9
"Princess and the Frog, The (2009)",72737,10
Ice Age: Dawn of the Dinosaurs (2009),69644,10
27 Dresses (2008),56949,10
I Now Pronounce You Chuck and Larry (2007),54004,10
X-Men: The Last Stand (2006),45499,10
Rocky Balboa (2006),49651,10
